resp,resp_description
1002,SBL Listed in the Spamhaus SBL
1003,SBL Listed in CSS - a subset of the Spamhaus SBL
1004,XBL Listed in the Spamhaus CBL
1009,SBL Listed in the Spamhaus DROP/EDROP Data
1010,PBL Listed in the Spamhaus PBL
1011,PBL Listed in the Spamhaus PBL
1020,AUTHBL Listed in the Spamhaus AuthBL list
2002,Domain used for spam
2003,Spam domain used as a redirector / URL shortener
2004,Phishing domain
2005,Malware domain
2006,Botnet C&C domain
2102,Origin domain of abused-legit spam
2103,Origin domain of abused redirector / URL shorteners used for spam
2104,Abused-legit phishing domain
2105,Abused-legit malware domain
2106,Origin domain of abused-legit botnet C&C
3002,Domain listed in Spamhaus ZRD first observed between 0 and 2 hours ago.
3003,Domain listed in Spamhaus ZRD first observed between 2 and 3 hours ago.
3004,Domain listed in Spamhaus ZRD first observed between 3 and 4 hours ago.
3005,Domain listed in Spamhaus ZRD first observed between 4 and 5 hours ago.
3006,Domain listed in Spamhaus ZRD first observed between 5 and 6 hours ago.
3007,Domain listed in Spamhaus ZRD first observed between 6 and 7 hours ago.
3008,Domain listed in Spamhaus ZRD first observed between 7 and 8 hours ago.
3009,Domain listed in Spamhaus ZRD first observed between 8 and 9 hours ago.
3010,Domain listed in Spamhaus ZRD first observed between 9 and 10 hours ago.
3011,Domain listed in Spamhaus ZRD first observed between 10 and 11 hours ago.
3012,Domain listed in Spamhaus ZRD first observed between 11 and 12 hours ago.
3013,Domain listed in Spamhaus ZRD first observed between 12 and 13 hours ago.
3014,Domain listed in Spamhaus ZRD first observed between 13 and 14 hours ago.
3015,Domain listed in Spamhaus ZRD first observed between 14 and 15 hours ago.
3016,Domain listed in Spamhaus ZRD first observed between 15 and 16 hours ago.
3017,Domain listed in Spamhaus ZRD first observed between 16 and 17 hours ago.
3018,Domain listed in Spamhaus ZRD first observed between 17 and 18 hours ago.
3019,Domain listed in Spamhaus ZRD first observed between 18 and 19 hours ago.
3020,Domain listed in Spamhaus ZRD first observed between 19 and 20 hours ago.
3021,Domain listed in Spamhaus ZRD first observed between 20 and 21 hours ago.
3022,Domain listed in Spamhaus ZRD first observed between 21 and 22 hours ago.
3023,Domain listed in Spamhaus ZRD first observed between 22 and 23 hours ago.
3024,Domain listed in Spamhaus ZRD first observed between 23 and 24 hours ago.
